Date, Open, High, Low, Close, Volume
10/07/15, 93.11, 93.66, 91.37, 92.40, 24129277
10/06/15, 94.08, 94.17, 92.34, 92.80, 22488275
10/05/15, 92.94, 94.27, 92.66, 94.01, 27292517
10/02/15, 88.90, 92.20, 88.37, 92.07, 37881652
10/01/15, 90.05, 90.95, 88.36, 90.95, 29283652
09/30/15, 88.44, 90.02, 88.01, 89.90, 36169146
09/29/15, 89.10, 90.06, 85.72, 86.67, 42281838
09/28/15, 92.08, 92.29, 88.18, 89.21, 41199870
09/25/15, 95.79, 95.85, 92.06, 92.77, 28961622
09/24/15, 93.06, 94.765, 92.24, 94.41, 29105964
09/23/15, 93.40, 94.32, 92.80, 93.97, 21701427
09/22/15, 93.77, 94.68, 91.92, 92.96, 36888893
09/21/15, 94.62, 96.49, 94.52, 95.55, 28789973
09/18/15, 93.20, 95.19, 93.05, 94.40, 62299984
09/17/15, 93.37, 95.51, 92.90, 94.34, 27841803
09/16/15, 92.90, 93.60, 92.63, 93.45, 16321193
09/15/15, 92.37, 93.25, 91.79, 92.90, 18859351
09/14/15, 92.31, 92.62, 91.60, 92.31, 20127871
09/11/15, 91.68, 92.08, 91.13, 92.05, 21185049
09/10/15, 90.07, 92.06, 89.63, 91.98, 26437398
09/09/15, 90.78, 91.98, 90.17, 90.44, 32551123
09/08/15, 89.69, 90.24, 88.83, 89.53, 27012543
09/04/15, 87.20, 88.39, 86.70, 88.26, 27328667
09/03/15, 89.76, 89.82, 87.73, 88.15, 27048198
09/02/15, 88.81, 89.89, 87.63, 89.89, 27190527
09/01/15, 86.85, 89.39, 86.50, 87.23, 36097370
08/31/15, 90.60, 91.05, 88.89, 89.43, 32850666
08/28/15, 89.88, 91.48, 89.792, 91.01, 33215885
08/27/15, 89.10, 90.06, 87.19, 89.73, 42431375
08/26/15, 85.95, 87.46, 83.26, 87.19, 45124302
08/25/15, 86.95, 87.67, 83.00, 83.00, 52021230
08/24/15, 77.03, 87.14, 72.00, 82.09, 83710727
08/21/15, 87.52, 89.18, 85.61, 86.06, 62778680
08/20/15, 93.54, 94.77, 90.46, 90.56, 44598224
08/19/15, 94.63, 96.10, 94.161, 95.31, 23251271
08/18/15, 94.08, 95.85, 94.04, 95.17, 22278848
08/17/15, 94.42, 94.46, 93.39, 93.93, 18313531
08/14/15, 93.54, 94.72, 93.21, 94.42, 15929656
08/13/15, 94.05, 94.73, 93.35, 93.43, 17451768
08/12/15, 92.70, 94.44, 91.19, 94.19, 27120375
08/11/15, 93.73, 94.76, 92.9006, 93.62, 22491031
08/10/15, 95.68, 95.90, 93.63, 94.15, 21624153
08/07/15, 95.38, 95.40, 93.61, 94.30, 23199145
08/06/15, 97.18, 98.74, 94.42, 95.12, 42271318
08/05/15, 95.25, 97.09, 95.18, 96.44, 29813174
08/04/15, 93.79, 94.73, 93.33, 94.06, 20136036
08/03/15, 93.53, 95.08, 92.80, 94.14, 29343117
07/31/15, 94.95, 96.33, 93.95, 94.01, 46509045
07/30/15, 94.91, 95.81, 91.80, 95.21, 86211323
07/29/15, 96.32, 97.28, 94.74, 96.99, 64648320
07/28/15, 94.84, 95.56, 93.31, 95.29, 35235993
07/27/15, 96.58, 96.61, 93.8301, 94.17, 38585381
07/24/15, 97.35, 97.76, 95.88, 96.95, 33444930
07/23/15, 96.96, 97.45, 94.81, 95.44, 29418833
07/22/15, 96.74, 97.58, 95.92, 97.04, 28299518
07/21/15, 98.95, 99.24, 97.1427, 98.39, 39453332
07/20/15, 95.85, 98.60, 95.36, 97.91, 54860541
07/17/15, 92.55, 95.39, 92.54, 94.97, 54001635
07/16/15, 90.28, 90.86, 89.77, 90.85, 21804086
07/15/15, 90.00, 90.99, 89.42, 89.76, 30886601
07/14/15, 90.46, 90.80, 89.65, 89.68, 26627849
07/13/15, 88.66, 90.22, 88.42, 90.10, 29976670
07/10/15, 87.35, 88.22, 86.77, 87.95, 23245873
07/09/15, 86.73, 87.60, 85.6499, 85.88, 23307402
07/08/15, 86.29, 86.75, 85.445, 85.65, 24399340
07/07/15, 87.80, 87.85, 85.231, 87.22, 33059921
07/06/15, 86.49, 88.1846, 86.39, 87.55, 24635915
07/02/15, 87.40, 87.44, 86.3401, 87.285, 16908781
07/01/15, 86.77, 87.95, 86.49, 86.91, 25260045
06/30/15, 86.60, 86.70, 85.57, 85.765, 23233183
06/29/15, 86.61, 87.50, 85.73, 85.80, 35957872
06/26/15, 88.12, 88.34, 86.8283, 88.01, 38214647
06/25/15, 89.26, 89.40, 87.835, 87.98, 27301967
06/24/15, 87.66, 89.25, 87.45, 88.86, 41370227
06/23/15, 84.96, 87.97, 84.76, 87.88, 50667853
06/22/15, 83.41, 84.97, 83.31, 84.74, 29383079
06/19/15, 82.83, 82.98, 82.12, 82.51, 23353194
06/18/15, 81.64, 83.19, 81.57, 82.905, 26782573
06/17/15, 81.76, 82.22, 81.34, 81.79, 18350287
06/16/15, 80.82, 81.51, 80.45, 81.06, 13693666
06/15/15, 80.55, 80.93, 80.07, 80.71, 18805087
06/12/15, 81.37, 82.09, 81.20, 81.53, 11417882
06/11/15, 82.31, 82.90, 81.36, 81.83, 18656811
06/10/15, 80.83, 82.60, 80.81, 82.16, 21531208
06/09/15, 80.60, 81.19, 79.32, 80.67, 16497538
06/08/15, 81.82, 82.00, 80.13, 80.67, 16915471
06/05/15, 81.87, 82.46, 81.51, 82.14, 16143093
06/04/15, 82.14, 82.95, 81.51, 82.05, 20863877
06/03/15, 81.35, 82.53, 81.25, 82.44, 31774993
06/02/15, 79.76, 81.35, 79.56, 80.445, 18923300
06/01/15, 79.30, 80.38, 78.66, 80.29, 18119012
05/29/15, 79.95, 80.07, 78.88, 79.19, 16134580
05/28/15, 80.25, 81.0745, 80.00, 80.145, 11982008
05/27/15, 79.60, 80.66, 79.43, 80.55, 14160865
05/26/15, 80.43, 80.60, 79.08, 79.335, 16321339
05/22/15, 80.35, 81.31, 80.25, 80.54, 19567937
