,Date, Open, High, Low, Close, Volume
1307,2013-02-01,65.5871,65.64,64.05,64.8029,134867089
1308,2013-01-31,65.2829,65.6114,64.9971,65.07,79833215
1309,2013-01-30,65.2857,66.0857,64.9286,65.2614,104288317
1310,2013-01-29,65.5,65.7429,64.5886,65.4671,142768017
1311,2013-01-28,62.5464,64.7443,62.2657,64.2614,196378931
1312,2013-01-25,64.5271,65.1757,62.1429,62.84,301993503
1313,2013-01-24,65.7143,66.5329,64.3214,64.3571,365212953
1314,2013-01-23,72.6871,73.57,72.11,73.4293,215375853
1315,2013-01-22,72.08,72.5543,70.9471,72.11,115386173
1316,2013-01-18,71.2166,71.7457,70.9143,71.4286,118287267
1317,2013-01-17,72.9014,72.9643,71.7186,71.8114,113412579
1318,2013-01-16,70.6629,72.7771,70.3571,72.2986,172700045
1319,2013-01-15,71.1857,71.2843,69.0543,69.4171,219192932
1320,2013-01-14,71.8114,72.5,71.2157,71.6786,183544396
1321,2013-01-11,74.4286,75.0457,74.1457,74.3286,87688741
1322,2013-01-10,75.5071,75.5314,73.6457,74.7871,150285296
1323,2013-01-09,74.6429,75.0008,73.7129,73.8714,101899959
1324,2013-01-08,75.6014,75.9843,74.4643,75.0443,114676751
1325,2013-01-07,74.5714,75.6143,73.6,74.8429,121038176
1326,2013-01-04,76.7093,76.9471,75.1184,75.2857,148581860
1327,2013-01-03,78.2686,78.5243,77.2857,77.4423,88240950
1328,2013-01-02,79.1171,79.2857,77.3757,78.4329,140124866
1329,2012-12-31,72.9329,76.4857,72.7143,76.0247,164872785
1330,2012-12-28,72.8986,73.4971,72.5886,72.7985,88569243
1331,2012-12-27,73.3629,73.75,72.0943,73.58,113779680
1332,2012-12-26,74.1429,74.2086,73.0171,73.2856,75609030
1333,2012-12-24,74.3357,74.8929,74.1014,74.3097,43936977
1334,2012-12-21,73.21,74.2386,72.8914,74.19,149129554
1335,2012-12-20,75.7143,75.7429,74.1257,74.5329,120421798
1336,2012-12-19,75.9243,76.2429,75.0714,75.1871,112340424
1337,2012-12-18,75.0,76.4143,74.3214,76.2714,156417023
1338,2012-12-17,72.7043,74.2857,71.6043,74.1186,189736022
1339,2012-12-14,73.5357,74.0189,72.2257,72.8277,252394499
1340,2012-12-13,75.8786,76.8057,75.1143,75.67,156314627
1341,2012-12-12,78.2529,78.2857,76.61,77.0,121783130
1342,2012-12-11,77.11,78.5086,76.7671,77.3411,148085903
1343,2012-12-10,75.0,76.93,74.5114,75.6887,157620575
1344,2012-12-07,79.0571,79.3143,75.7143,76.1786,196941794
1345,2012-12-06,75.5629,79.0443,74.09,78.1778,294301791
1346,2012-12-05,81.2729,81.3214,76.9671,76.9703,261159353
1347,2012-12-04,83.1143,83.1143,81.7329,82.2636,139482392
1348,2012-12-03,84.8071,84.9414,83.6429,83.7414,91069097
1349,2012-11-30,83.8271,84.0571,83.24,83.6114,97824986
1350,2012-11-29,84.3164,84.8929,83.6071,84.1943,128674525
1351,2012-11-28,82.4671,83.6857,81.7514,83.2771,130264981
1352,2012-11-27,84.2214,84.3457,82.8714,83.54,133328454
1353,2012-11-26,82.2714,84.2857,81.9586,84.2186,157644431
1354,2012-11-23,81.0243,81.7143,80.3714,81.6429,68206579
1355,2012-11-21,80.6071,81.0529,79.5143,80.2429,93306759
1356,2012-11-20,81.7014,81.7071,79.2257,80.1305,160687856
1357,2012-11-19,77.2442,81.0714,77.1257,80.8186,205792965
1358,2012-11-16,75.0286,75.7143,72.25,75.3826,316722763
1359,2012-11-15,76.79,77.0714,74.66,75.0886,197477385
1360,2012-11-14,77.9286,78.2071,76.5971,76.6971,119291977
1361,2012-11-13,76.9871,78.64,76.6229,77.5569,133302610
1362,2012-11-12,79.1643,79.2143,76.95,77.5471,128950479
1363,2012-11-09,77.2029,79.2686,76.2457,78.1514,232476496
1364,2012-11-08,80.09,80.3186,76.47,76.8214,264036339
1365,2012-11-07,81.9764,82.0771,79.3929,79.7146,198412186
1366,2012-11-06,84.3186,84.3914,82.87,83.2642,93729041
1367,2012-11-05,83.3593,83.9671,82.5143,83.5173,132321224
1368,2012-11-02,85.1271,85.2786,82.1071,82.4,149843064
1369,2012-11-01,85.46,86.1429,84.8814,85.22,90361922
1370,2012-10-31,84.1814,85.9943,83.9571,85.0457,127500471
1371,2012-10-26,87.0614,87.7143,84.4286,86.2857,254605834
1372,2012-10-25,88.5714,88.8571,86.5071,87.0769,164081393
1373,2012-10-24,88.7771,89.5071,87.2343,88.1186,139631772
1374,2012-10-23,90.1429,90.5571,87.3857,87.6222,176786197
1375,2012-10-22,87.4886,90.7686,87.2514,90.5757,136682392
1376,2012-10-19,90.15,90.2529,87.0886,87.12,186021017
1377,2012-10-18,91.37,91.7229,90.0,90.3771,119155512
1378,2012-10-17,92.6957,93.2557,92.0,92.0877,97327643
1379,2012-10-16,90.7671,92.9,90.1429,92.8275,137442816
1380,2012-10-15,90.3357,90.7329,89.1214,90.68,108124961
1381,2012-10-12,89.9371,90.7686,89.3286,89.9591,115003665
1382,2012-10-11,92.3571,92.4571,89.7286,89.7286,136520097
1383,2012-10-10,91.3914,92.14,91.0,91.5586,127588930
1384,2012-10-09,91.2357,91.4986,89.0786,90.8357,209648887
1385,2012-10-08,92.4114,92.5086,90.8729,91.1671,159494867
